"LEMAIRE, Henri"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"NOUGARET, Piene-Jean-Baptiste"; 
"PALMER, John"; 
"PERTUSIER, Charles"; 
"PIGAULT-LEBRUN, Charles-Antoine-Guillaume"; 
"PILKINGTON, Mary"; 
"PORTER, Anna Maria"; 
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent- Philadclphe"; 
"ROBINSON, Mary Darby"; 
"ROCHE, Regina Maria"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"SAINT-MARTIN, Louis-Claude"; 
"SHERIDAN, William"; 
"SPENCER, lady Caroline"; 
"SURR, Thomas Skinner"; 
"THIARD DE BISSY, comte Henri-Charles de"; 
"WEST, Jane"; 
"WOLZOGEN, Friederike Sophie Karoline Auguste von t"; 
"BENNETT, Agnes Maria"; 
"BOURLIN, Antoine-Jean"; 
"BURTON, Mrs"; 
"CADET DE GASSICOURT, Charles-Louis"; 
"CHARLTON, Marv"; 
"CHARLTON, Mary"; 
"COIFFIER DE MORET, Simon"; 
"DELINDRE, Jean-Baptiste"; 
"DESFORGES, Pierre-Jean-Baptiste Choudard"; 
"DESFORGES, Pierre-Jean-Baptiste Choudard"; 
"DESFORGES, Pierre-Baptiste Choudard"; 
"DUPLESSY, baronne Alexandrine de"; 
"DUPLESSY, baronne"; 
"FISCHER, Christian August"; 
"HAYS, Mary"; 
"HELME, Elizabeth"; 
"HOWELL, Mrs"; 
"JOUY, Victor-Joseph-Etienne de"; 
